"Kod";"Nazwa";"Pojazdy";"Rodzaje paliwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1201000;"Powiat bocheński";"samochody ciężarowe";"benzyna";"2019";410;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"olej napędowy";"2015";5067;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"olej napędowy";"2016";5326;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"olej napędowy";"2017";5526;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"olej napędowy";"2018";5762;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"olej napędowy";"2019";6017;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"gaz (LPG)";"2015";417;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"gaz (LPG)";"2016";424;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"gaz (LPG)";"2017";409;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"gaz (LPG)";"2018";409;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"gaz (LPG)";"2019";401;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"pozostałe";"2015";1058;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"pozostałe";"2016";1051;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"pozostałe";"2017";1075;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"pozostałe";"2018";1088;"szt.";"";
1201000;"Powiat bocheński";"samochody ciężarowe";"pozostałe";"2019";1134;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"benzyna";"2015";2;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"benzyna";"2016";2;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"benzyna";"2017";3;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"benzyna";"2018";3;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"benzyna";"2019";3;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"olej napędowy";"2015";261;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"olej napędowy";"2016";257;"szt.";"";
